,IEEE_123_feeder_0/charge_EV6,IEEE_123_feeder_0/charge_EV5,IEEE_123_feeder_0/charge_EV4,IEEE_123_feeder_0/charge_EV3,IEEE_123_feeder_0/charge_EV2,IEEE_123_feeder_0/charge_EV1,time,feeder_load(real)
227,0.0,0.0,0.0,0.0,0.0,0.0,18.916666666666668,2643.520419998687
228,0.0,0.0,0.0,0.0,0.0,200.0,19.0,2792.898677208431
229,0.0,0.0,0.0,0.0,200.0,200.0,19.083333333333332,2942.4439047718447
230,0.0,0.0,0.0,200.0,200.0,200.0,19.166666666666668,2948.405798605175
231,0.0,0.0,0.0,200.0,200.0,200.0,19.25,3023.8654100709578
232,0.0,0.0,0.0,200.0,200.0,200.0,19.333333333333332,3117.5339160239214
233,0.0,0.0,0.0,200.0,200.0,200.0,19.416666666666668,3020.702891668303
234,0.0,0.0,0.0,200.0,200.0,200.0,19.5,3007.864987952402
235,0.0,0.0,0.0,200.0,200.0,200.0,19.583333333333332,3009.990578639307
236,0.0,0.0,0.0,200.0,200.0,200.0,19.666666666666668,3086.800943022657
237,0.0,0.0,0.0,200.0,200.0,200.0,19.75,2922.988619103345
238,0.0,0.0,0.0,200.0,200.0,200.0,19.833333333333332,2932.1740182319268
239,0.0,0.0,0.0,200.0,200.0,200.0,19.916666666666668,3015.3467314882364
240,0.0,0.0,0.0,200.0,200.0,200.0,20.0,2872.8236427581064
241,0.0,0.0,0.0,200.0,200.0,200.0,20.083333333333332,2946.3593062677774
242,0.0,0.0,0.0,200.0,200.0,200.0,20.166666666666668,2877.8519339357
243,0.0,0.0,0.0,200.0,200.0,200.0,20.25,2898.6146074429053
244,0.0,0.0,0.0,200.0,200.0,200.0,20.333333333333332,2886.4009286634723
245,0.0,0.0,0.0,200.0,200.0,200.0,20.416666666666668,2836.7832845760613
246,0.0,0.0,0.0,200.0,200.0,200.0,20.5,2920.0312975424604
247,0.0,0.0,0.0,200.0,200.0,200.0,20.583333333333332,2870.216003641173
248,0.0,0.0,0.0,200.0,200.0,200.0,20.666666666666668,2889.0139266154197
249,0.0,0.0,0.0,200.0,200.0,200.0,20.75,2905.1002339297274
250,0.0,0.0,0.0,200.0,200.0,200.0,20.833333333333332,2867.304195481533
251,0.0,0.0,0.0,200.0,200.0,200.0,20.916666666666668,2901.513525762959
252,0.0,0.0,0.0,200.0,200.0,200.0,21.0,2922.842375619647
253,0.0,0.0,0.0,200.0,200.0,200.0,21.083333333333332,2810.3621733656414
254,0.0,0.0,0.0,200.0,200.0,200.0,21.166666666666668,2723.0750153934223
255,0.0,0.0,0.0,200.0,200.0,200.0,21.25,2767.760214205104
256,0.0,0.0,0.0,200.0,200.0,200.0,21.333333333333332,2741.4296131474416
257,0.0,0.0,0.0,200.0,200.0,200.0,21.416666666666668,2792.2511548674966
